participant_id,trial_id,block_id,condition,size,target,click,time
1,1,1,CourbureTaille,16,1,1,3.8211429119110107
1,2,1,CourbureTaille,16,10,10,2.9258201122283936
1,3,1,CourbureTaille,16,3,3,5.298064947128296
1,4,1,CourbureTaille,16,1,1,5.9054200649261475
1,5,2,CourbureTaille,36,35,35,6.057293891906738
1,6,2,CourbureTaille,36,21,21,6.505872011184692
1,7,2,CourbureTaille,36,18,18,9.89044713973999
1,8,2,CourbureTaille,36,34,34,3.5031397342681885
1,9,3,Courbure,36,27,27,1.2363839149475098
1,10,3,Courbure,36,25,25,1.2148878574371338
1,11,3,Courbure,36,10,10,1.1586790084838867
1,12,3,Courbure,36,14,14,1.149195909500122
1,13,4,Courbure,25,11,11,0.935006856918335
1,14,4,Courbure,25,10,10,1.0579290390014648
1,15,4,Courbure,25,12,12,0.912560224533081
1,16,4,Courbure,25,24,24,1.352618932723999
1,17,5,Taille,16,12,12,1.2277722358703613
1,18,5,Taille,16,13,13,1.1937129497528076
1,19,5,Taille,16,12,12,0.9897921085357666
1,20,5,Taille,16,6,6,1.034703016281128
1,21,6,Taille,25,21,21,0.9926168918609619
1,22,6,Taille,25,15,15,0.9248011112213135
1,23,6,Taille,25,24,24,1.0042879581451416
1,24,6,Taille,25,21,21,1.029796838760376
1,25,7,Taille,36,25,25,1.0190198421478271
1,26,7,Taille,36,0,0,1.05643892288208
1,27,7,Taille,36,19,19,0.8904318809509277
1,28,7,Taille,36,23,23,1.1231391429901123
1,29,8,Courbure,16,15,15,1.3962178230285645
1,30,8,Courbure,16,0,0,1.7896678447723389
1,31,8,Courbure,16,14,14,1.2625679969787598
1,32,8,Courbure,16,13,13,1.5991098880767822
1,33,9,CourbureTaille,25,19,19,4.459043979644775
1,34,9,CourbureTaille,25,10,10,4.939917087554932
1,35,9,CourbureTaille,25,16,16,3.3800771236419678
1,36,9,CourbureTaille,25,11,11,3.9960358142852783
4,109,1,Courbure,16,6,6,1.2437803745269775
4,110,1,Courbure,16,6,6,2.678534746170044
4,111,1,Courbure,16,7,7,3.498250722885132
4,112,1,Courbure,16,8,8,1.2560780048370361
4,113,2,Courbure,36,13,13,1.2327744960784912
4,114,2,Courbure,36,13,13,0.9855072498321533
4,115,2,Courbure,36,19,19,1.0253703594207764
4,116,2,Courbure,36,32,32,1.4030580520629883
