DesignName,ParticipantID,TrialID,Block1,Condition,Size
Preattentive,1,1,1,CourbureTaille,16
Preattentive,1,2,2,CourbureTaille,36
Preattentive,1,3,3,Courbure,36
Preattentive,1,4,4,Courbure,25
Preattentive,1,5,5,Taille,16
Preattentive,1,6,6,Taille,25
Preattentive,1,7,7,Taille,36
Preattentive,1,8,8,Courbure,16
Preattentive,1,9,9,CourbureTaille,25
Preattentive,2,10,1,CourbureTaille,25
Preattentive,2,11,2,Courbure,16
Preattentive,2,12,3,Taille,16
Preattentive,2,13,4,Courbure,36
Preattentive,2,14,5,Taille,25
Preattentive,2,15,6,Taille,36
Preattentive,2,16,7,CourbureTaille,16
Preattentive,2,17,8,Courbure,25
Preattentive,2,18,9,CourbureTaille,36
Preattentive,3,19,1,CourbureTaille,36
Preattentive,3,20,2,Courbure,25
Preattentive,3,21,3,Taille,25
Preattentive,3,22,4,Taille,16
Preattentive,3,23,5,Taille,36
Preattentive,3,24,6,CourbureTaille,16
Preattentive,3,25,7,CourbureTaille,25
Preattentive,3,26,8,Courbure,36
Preattentive,3,27,9,Courbure,16
Preattentive,4,28,1,Courbure,16
Preattentive,4,29,2,Courbure,36
Preattentive,4,30,3,Taille,36
Preattentive,4,31,4,Taille,25
Preattentive,4,32,5,CourbureTaille,16
Preattentive,4,33,6,CourbureTaille,25
Preattentive,4,34,7,CourbureTaille,36
Preattentive,4,35,8,Taille,16
Preattentive,4,36,9,Courbure,25
Preattentive,5,37,1,Courbure,25
Preattentive,5,38,2,Taille,16
Preattentive,5,39,3,CourbureTaille,16
Preattentive,5,40,4,Taille,36
Preattentive,5,41,5,CourbureTaille,25
Preattentive,5,42,6,CourbureTaille,36
Preattentive,5,43,7,Courbure,16
Preattentive,5,44,8,Taille,25
Preattentive,5,45,9,Courbure,36
Preattentive,6,46,1,Courbure,36
Preattentive,6,47,2,Taille,25
Preattentive,6,48,3,CourbureTaille,25
Preattentive,6,49,4,CourbureTaille,16
Preattentive,6,50,5,CourbureTaille,36
Preattentive,6,51,6,Courbure,16
Preattentive,6,52,7,Courbure,25
Preattentive,6,53,8,Taille,36
Preattentive,6,54,9,Taille,16
Preattentive,7,55,1,Taille,16
Preattentive,7,56,2,Taille,36
Preattentive,7,57,3,CourbureTaille,36
Preattentive,7,58,4,CourbureTaille,25
Preattentive,7,59,5,Courbure,16
Preattentive,7,60,6,Courbure,25
Preattentive,7,61,7,Courbure,36
Preattentive,7,62,8,CourbureTaille,16
Preattentive,7,63,9,Taille,25
Preattentive,8,64,1,Taille,25
Preattentive,8,65,2,CourbureTaille,16
Preattentive,8,66,3,Courbure,16
Preattentive,8,67,4,CourbureTaille,36
Preattentive,8,68,5,Courbure,25
Preattentive,8,69,6,Courbure,36
Preattentive,8,70,7,Taille,16
Preattentive,8,71,8,CourbureTaille,25
Preattentive,8,72,9,Taille,36
Preattentive,9,73,1,Taille,36
Preattentive,9,74,2,CourbureTaille,25
Preattentive,9,75,3,Courbure,25
Preattentive,9,76,4,Courbure,16
Preattentive,9,77,5,Courbure,36
Preattentive,9,78,6,Taille,16
Preattentive,9,79,7,Taille,25
Preattentive,9,80,8,CourbureTaille,36
Preattentive,9,81,9,CourbureTaille,16
Preattentive,10,82,1,CourbureTaille,16
Preattentive,10,83,2,CourbureTaille,36
Preattentive,10,84,3,Courbure,36
Preattentive,10,85,4,Courbure,25
Preattentive,10,86,5,Taille,16
Preattentive,10,87,6,Taille,25
Preattentive,10,88,7,Taille,36
Preattentive,10,89,8,Courbure,16
Preattentive,10,90,9,CourbureTaille,25
Preattentive,11,91,1,CourbureTaille,25
Preattentive,11,92,2,Courbure,16
Preattentive,11,93,3,Taille,16
Preattentive,11,94,4,Courbure,36
Preattentive,11,95,5,Taille,25
Preattentive,11,96,6,Taille,36
Preattentive,11,97,7,CourbureTaille,16
Preattentive,11,98,8,Courbure,25
Preattentive,11,99,9,CourbureTaille,36
Preattentive,12,100,1,CourbureTaille,36
Preattentive,12,101,2,Courbure,25
Preattentive,12,102,3,Taille,25
Preattentive,12,103,4,Taille,16
Preattentive,12,104,5,Taille,36
Preattentive,12,105,6,CourbureTaille,16
Preattentive,12,106,7,CourbureTaille,25
Preattentive,12,107,8,Courbure,36
Preattentive,12,108,9,Courbure,16
Preattentive,13,109,1,Courbure,16
Preattentive,13,110,2,Courbure,36
Preattentive,13,111,3,Taille,36
Preattentive,13,112,4,Taille,25
Preattentive,13,113,5,CourbureTaille,16
Preattentive,13,114,6,CourbureTaille,25
Preattentive,13,115,7,CourbureTaille,36
Preattentive,13,116,8,Taille,16
Preattentive,13,117,9,Courbure,25
Preattentive,14,118,1,Courbure,25
Preattentive,14,119,2,Taille,16
Preattentive,14,120,3,CourbureTaille,16
Preattentive,14,121,4,Taille,36
Preattentive,14,122,5,CourbureTaille,25
Preattentive,14,123,6,CourbureTaille,36
Preattentive,14,124,7,Courbure,16
Preattentive,14,125,8,Taille,25
Preattentive,14,126,9,Courbure,36
Preattentive,15,127,1,Courbure,36
