participant_id,trial_id,block_id,condition,size,target,click,time
1,1,1,CourbureTaille,16,4,4,14.832555055618286
1,2,2,CourbureTaille,36,15,15,18.482651948928833
1,3,3,Courbure,36,16,16,2.0986618995666504
1,4,4,Courbure,25,9,9,2.244986057281494
1,5,5,Taille,16,1,1,1.424746036529541
1,6,6,Taille,25,14,14,1.3369040489196777
1,7,7,Taille,36,19,19,1.3716578483581543
1,8,8,Courbure,16,10,10,1.7109119892120361
1,9,9,CourbureTaille,25,3,9,5.4084250926971436
2,10,1,CourbureTaille,25,2,2,8.241251945495605
2,11,2,Courbure,16,0,0,4.601935148239136
2,12,3,Taille,16,7,7,2.1408469676971436
2,13,4,Courbure,36,3,3,2.1065149307250977
2,14,5,Taille,25,18,18,2.1291630268096924
2,15,6,Taille,36,28,28,1.9939851760864258
2,16,7,CourbureTaille,16,15,15,8.891618013381958
2,17,8,Courbure,25,24,24,2.0897631645202637
2,18,9,CourbureTaille,36,3,3,5.387494802474976
3,19,1,CourbureTaille,36,4,4,5.100761413574219
3,20,2,Courbure,25,0,0,2.584089756011963
3,21,3,Taille,25,3,3,1.3711154460906982
3,22,4,Taille,16,7,7,1.276681661605835
3,23,5,Taille,36,25,25,1.3128540515899658
3,24,6,CourbureTaille,16,11,11,11.826473951339722
3,25,7,CourbureTaille,25,3,3,4.264583349227905
3,26,8,Courbure,36,7,7,1.4259288311004639
3,27,9,Courbure,16,15,15,1.4419736862182617
4,1,1,CourbureTaille,16,5,5,2.9544079303741455
4,2,2,CourbureTaille,36,16,16,3.0732178688049316
4,3,3,Courbure,36,32,32,1.377089023590088
4,4,4,Courbure,25,17,17,1.0679049491882324
4,5,5,Taille,16,0,0,1.1707749366760254
4,6,6,Taille,25,6,6,1.137033224105835
4,7,7,Taille,36,7,7,1.0931639671325684
4,8,8,Courbure,16,14,14,1.4155900478363037
4,9,9,CourbureTaille,25,13,13,5.683804988861084
5,37,1,Courbure,25,12,12,1.377303123474121
5,38,2,Taille,16,1,1,1.0564894676208496
5,39,3,CourbureTaille,16,3,3,4.69008731842041
5,40,4,Taille,36,14,14,1.4959616661071777
5,41,5,CourbureTaille,25,5,5,5.461143732070923
5,42,6,CourbureTaille,36,8,8,4.3034398555755615
5,43,7,Courbure,16,12,12,1.6937062740325928
5,44,8,Taille,25,24,24,1.3871254920959473
5,45,9,Courbure,36,15,15,1.2596747875213623
6,46,1,Courbure,36,6,6,1.0797858238220215
6,47,2,Taille,25,9,9,1.1541085243225098
6,48,3,CourbureTaille,25,8,8,4.549838304519653
6,49,4,CourbureTaille,16,7,7,4.621278285980225
6,50,5,CourbureTaille,36,13,13,6.075572967529297
6,51,6,Courbure,16,8,8,1.4700210094451904
6,52,7,Courbure,25,14,14,1.233583927154541
6,53,8,Taille,36,1,1,1.4220027923583984
6,54,9,Taille,16,7,7,1.2709670066833496
